library,Stage_Version,Stage_Containter,Prod_Version,Prod_Containter,matches
Babel,1.3,<pip>,1.3,<pip>,yes
Babel,1.3,<pip>,2.4.0,<pip>,no
CherryPy,10.1.1,<pip>,10.1.1,<pip>,yes
CommonMark,0.7.3,<pip>,0.7.3,<pip>,yes
Faker,0.7.18,<pip>,0.7.18,<pip>,yes
Flask,0.11.1,<pip>,0.11.1,<pip>,yes
Flask,0.11.1,<pip>,0.12.2,<pip>,no
Flask-Admin,1.4.1,<pip>,1.4.1,<pip>,yes
Flask-Bcrypt,0.7.1,<pip>,0.7.1,<pip>,yes
Flask-Cache,0.13.1,<pip>,0.13.1,<pip>,yes
Flask-HTTPAuth,3.2.2,<pip>,3.2.2,<pip>,yes
Flask-Login,0.2.11,<pip>,0.2.11,<pip>,yes
Flask-RESTful,0.3.5,<pip>,0.3.5,<pip>,yes
Flask-WTF,0.12,<pip>,0.12,<pip>,yes
Fuzzy,1.0.post0,<pip>,1.0.post0,<pip>,yes
GitPython,2.1.1,<pip>,2.1.1,<pip>,yes
JPype1,0.6.2,<pip>,0.6.1,<pip>,no
JayDeBeApi,1.1.1,<pip>,0.2.0,<pip>,no
Jinja2,2.8.1,<pip>,2.8.1,<pip>,yes
Jinja2,2.8.1,<pip>,2.9.6,<pip>,no
Mako,1.0.6,<pip>,1.0.6,<pip>,yes
Markdown,2.6.8,<pip>,2.6.8,<pip>,yes
MarkupSafe,1.0,<pip>,1.0,<pip>,yes
Paste,2.0.3,<pip>,2.0.3,<pip>,yes
PyDictionary,1.5.2,<pip>,1.5.2,<pip>,yes
PyHive,0.3.0,<pip>,0.1.7,<pip>,no
SFrame,2.1,<pip>,2.1,<pip>,yes
Sphinx-PyPI-upload,0.2.1,<pip>,0.2.1,<pip>,yes
Unidecode,0.04.20,<pip>,0.04.20,<pip>,yes
WTForms,2.1,<pip>,2.1,<pip>,yes
airflow,1.8.0b1+apache.incubating,<pip>,1.8.0b1+apache.incubating,<pip>,yes
alabaster,0.7.9,py27_0,0.7.10,py27_0,no
alabaster,0.7.9,py27_0,0.7.9,py27_0,yes
alembic,0.8.10,<pip>,0.8.10,<pip>,yes
amqp,2.1.4,<pip>,2.1.4,<pip>,yes
anaconda,custom,py27_0,custom,py27_0,yes
anaconda-clean,1.0.0,py27_0,1.0.0,py27_0,yes
anaconda-client,1.6.0,py27_0,1.5.1,py27_0,no
anaconda-client,1.6.0,py27_0,1.6.0,py27_0,yes
anaconda-client,1.6.0,py27_0,1.6.3,<pip>,no
anaconda-navigator,1.5.0,py27_0,1.2.3,py27_0,no
anaconda-navigator,1.5.0,py27_0,1.5.0,py27_0,yes
anaconda-navigator,1.5.0,py27_0,1.6.2,<pip>,no
anaconda-project,0.4.1,py27_0,0.4.1,py27_0,yes
anaconda-project,0.4.1,py27_0,0.6.0,<pip>,no
aniso8601,1.2.0,<pip>,1.2.0,<pip>,yes
app,0.0.1,<pip>,0.0.1,<pip>,yes
argcomplete,1.0.0,py27_1,1.0.0,py27_1,yes
argcomplete,1.0.0,py27_1,1.8.2,py27_0,no
argparse,1.4.0,<pip>,1.4.0,<pip>,yes
astroid,1.4.9,py27_0,1.4.9,py27_0,yes
astropy,2.0.1,np112py27_0,1.0.4,np19py27_0,no
astropy,2.0.1,np112py27_0,1.3,np111py27_0,no
astropy,2.0.1,np112py27_0,2.0,<pip>,no
awscli,1.6.2,<pip>,1.6.2,<pip>,yes
babel,2.3.4,py27_0,2.3.4,py27_0,yes
backports,1.0,py27_0,1.0,py27_0,yes
backports_abc,0.5,py27_0,0.5,py27_0,yes
bcdoc,0.12.2,<pip>,0.12.2,<pip>,yes
bcrypt,3.1.3,<pip>,3.1.3,<pip>,yes
beautifulsoup4,4.5.3,py27_0,4.5.3,py27_0,yes
beautifulsoup4,4.5.3,py27_0,4.6.0,<pip>,no
billiard,3.5.0.2,<pip>,3.5.0.2,<pip>,yes
bitarray,0.8.1,py27_0,0.8.1,py27_0,yes
blaze,0.10.1,py27_0,0.10.1,py27_0,yes
bokeh,0.12.4,py27_0,0.12.4,py27_0,yes
bokeh,0.12.4,py27_0,0.12.5,<pip>,no
bokeh,0.12.4,py27_0,0.12.5,py27_0,no
bokeh,0.12.5,<pip>,0.12.4,py27_0,no
bokeh,0.12.5,<pip>,0.12.5,<pip>,yes
bokeh,0.12.5,<pip>,0.12.5,py27_0,yes
boto,2.33.0,<pip>,2.33.0,<pip>,yes
boto,2.33.0,<pip>,2.45.0,py27_0,no
boto,2.33.0,<pip>,2.46.1,py27_0,no
boto,2.45.0,py27_0,2.33.0,<pip>,no
boto,2.45.0,py27_0,2.45.0,py27_0,yes
boto,2.45.0,py27_0,2.46.1,py27_0,no
boto3,1.4.4,<pip>,1.4.4,<pip>,yes
botocore,1.5.65,<pip>,1.5.65,<pip>,yes
bottleneck,1.2.1,np112py27_0,1.0.0,np19py27_0,no
bottleneck,1.2.1,np112py27_0,1.2.0,np111py27_0,no
bz2file,0.98,<pip>,0.98,<pip>,yes
cairo,1.14.8,0,1.12.18,6,no
cairo,1.14.8,0,1.14.8,0,yes
cdecimal,2.3,py27_2,2.3,py27_2,yes
celery,4.0.2,<pip>,4.0.2,<pip>,yes
certifi,2017.4.17,<pip>,2015.04.28,<pip>,no
certifi,2017.4.17,<pip>,2017.1.23,py27_0,no
certifi,2017.4.17,<pip>,2017.4.17,<pip>,yes
cffi,1.9.1,py27_0,1.10.0,<pip>,no
cffi,1.9.1,py27_0,1.7.0,py27_0,no
cffi,1.9.1,py27_0,1.9.1,py27_0,yes
cgroupspy,0.1.5,<pip>,0.1.5,<pip>,yes
chardet,2.3.0,py27_0,2.3.0,py27_0,yes
chardet,2.3.0,py27_0,3.0.3,<pip>,no
chartkick,0.4.2,<pip>,0.4.2,<pip>,yes
cheroot,5.2.0,<pip>,5.2.0,<pip>,yes
chest,0.2.3,py27_0,0.2.3,py27_0,yes
click,6.7,py27_0,6.7,<pip>,yes
click,6.7,py27_0,6.7,py27_0,yes
cloudpickle,0.2.2,py27_0,0.2.2,py27_0,yes
cloudpickle,0.2.2,py27_0,0.2.2,py27_2,yes
clyent,1.2.2,py27_0,1.2.1,py27_0,no
clyent,1.2.2,py27_0,1.2.2,py27_0,yes
colorama,0.2.5,<pip>,0.2.5,<pip>,yes
colorama,0.2.5,<pip>,0.3.7,<pip>,no
colorama,0.2.5,<pip>,0.3.7,py27_0,no
colorama,0.2.5,<pip>,0.3.9,<pip>,no
colorama,0.3.7,py27_0,0.2.5,<pip>,no
colorama,0.3.7,py27_0,0.3.7,<pip>,yes
colorama,0.3.7,py27_0,0.3.7,py27_0,yes
colorama,0.3.7,py27_0,0.3.9,<pip>,no
conda,4.3.23,py27_0,4.2.13,py27_0,no
conda,4.3.23,py27_0,4.3.16,py27_0,no
conda,4.3.23,py27_0,4.3.22,<pip>,no
conda-build,2.0.2,py27_0,2.0.2,py27_0,yes
conda-build,2.0.2,py27_0,2.1.9,py27_0,no
conda-env,2.6.0,0,2.6.0,0,yes
conda-manager,0.4.0,py_0,0.4.0,py27_0,yes
conda-manager,0.4.0,py_0,0.4.0,py_0,yes
configobj,5.0.6,py27_0,5.0.6,py27_0,yes
configparser,3.5.0,py27_0,3.5.0,py27_0,yes
contextlib2,0.5.4,py27_0,0.5.4,py27_0,yes
contextlib2,0.5.4,py27_0,0.5.5,<pip>,no
cookies,2.2.1,<pip>,2.2.1,<pip>,yes
croniter,0.3.14,<pip>,0.3.14,<pip>,yes
cryptography,1.7.1,py27_0,1.7.1,py27_0,yes
cryptography,1.7.1,py27_0,1.8.1,<pip>,no
curl,7.52.1,0,7.52.1,0,yes
cx_oracle,5.1.2,py27_0,5.1.2,py27_0,yes
cycler,0.10.0,py27_0,0.10.0,py27_0,yes
cython,0.25.2,py27_0,0.25.2,py27_0,yes
cython,0.25.2,py27_0,0.25.2,py27_1,yes
cytoolz,0.8.2,py27_0,0.8.2,<pip>,yes
cytoolz,0.8.2,py27_0,0.8.2,py27_0,yes
dask,0.13.0,py27_0,0.11.1,py27_0,no
dask,0.13.0,py27_0,0.13.0,py27_0,yes
dask,0.13.0,py27_0,0.14.3,<pip>,no
datashape,0.5.4,py27_0,0.5.4,py27_0,yes
dbus,1.10.10,0,1.10.10,0,yes
decorator,4.0.11,py27_0,4.0.11,py27_0,yes
decorator,4.0.11,py27_0,4.0.9,<pip>,no
decorator,4.0.9,<pip>,4.0.11,py27_0,no
decorator,4.0.9,<pip>,4.0.9,<pip>,yes
defusedxml,0.5.0,<pip>,0.5.0,<pip>,yes
dicttoxml,1.7.4,<pip>,1.7.4,<pip>,yes
dill,0.2.5,py27_0,0.2.5,py27_0,yes
dill,0.2.5,py27_0,0.2.6,py27_0,no
docopt,0.6.2,<pip>,0.6.2,<pip>,yes
docopt,0.6.2,<pip>,0.6.2,py27_0,yes
docutils,0.13.1,py27_0,0.13.1,py27_0,yes
dynd-python,0.7.2,py27_0,0.7.2,py27_0,yes
elasticsearch,5.3.0,py27_0,0,,no
entrypoints,0.2.2,py27_0,0.2.2,<pip>,yes
entrypoints,0.2.2,py27_0,0.2.2,py27_0,yes
entrypoints,0.2.2,py27_0,0.2.2,py27_1,yes
enum34,1.1.6,py27_0,1.1.6,py27_0,yes
enum34,1.1.6,py27_0,1.1.6,py27_1,yes
et_xmlfile,1.0.1,py27_0,1.0.1,py27_0,yes
expat,2.1.0,0,2.1.0,0,yes
expat,2.1.0,0,2.1.0,2,yes
fastavro,0.9.6,<pip>,0.9.6,<pip>,yes
fastcache,1.0.2,py27_1,1.0.2,py27_1,yes
filechunkio,1.8,<pip>,1.8,<pip>,yes
filelock,2.0.6,py27_0,2.0.6,py27_0,yes
findspark,1.1.0,py27_0,0,,no
flask,0.12,py27_0,0.12,py27_0,yes
flask-cors,3.0.2,py27_0,3.0.2,py27_0,yes
flask-swagger,0.2.13,<pip>,0.2.13,<pip>,yes
flower,0.9.1,<pip>,0.9.1,<pip>,yes
fontconfig,2.12.1,2,2.11.1,6,no
fontconfig,2.12.1,2,2.12.1,2,yes
freetype,2.5.5,2,2.5.5,1,yes
freetype,2.5.5,2,2.5.5,2,yes
freezegun,0.3.9,<pip>,0.3.9,<pip>,yes
funcsigs,1.0.0,<pip>,1.0.0,<pip>,yes
funcsigs,1.0.0,<pip>,1.0.2,py27_0,no
funcsigs,1.0.2,py27_0,1.0.0,<pip>,no
funcsigs,1.0.2,py27_0,1.0.2,py27_0,yes
functools32,3.2.3.2,py27_0,3.2.3.2,py27_0,yes
functools32,3.2.3.2,py27_0,3.2.3.2,py27_1,yes
functools32,3.2.3.2,py27_0,3.2.3.post2,<pip>,no
future,0.15.2,<pip>,0.15.2,<pip>,yes
future,0.15.2,<pip>,0.16.0,py27_0,no
futures,3.0.5,py27_0,3.0.5,py27_0,yes
futures,3.0.5,py27_0,3.1.1,<pip>,no
futures,3.1.1,<pip>,3.0.5,py27_0,no
futures,3.1.1,<pip>,3.1.1,<pip>,yes
fuzzywuzzy,0.15.0,<pip>,0.15.0,<pip>,yes
gensim,0.13.4.1,<pip>,0.13.4.1,<pip>,yes
get_terminal_size,1.0.0,py27_0,1.0.0,py27_0,yes
gevent,1.2.1,py27_0,1.2.1,py27_0,yes
gitdb2,2.0.0,<pip>,2.0.0,<pip>,yes
glib,2.50.2,1,2.50.2,1,yes
glib,2.50.2,1,2.51.4,0,no
goslate,1.5.1,<pip>,1.5.1,<pip>,yes
greenlet,0.4.11,py27_0,0.4.11,py27_0,yes
greenlet,0.4.11,py27_0,0.4.12,py27_0,no
grin,1.2.1,py27_3,1.2.1,py27_3,yes
gst-plugins-base,1.8.0,0,1.8.0,0,yes
gstreamer,1.8.0,0,1.8.0,0,yes
gunicorn,19.3.0,<pip>,19.3.0,<pip>,yes
h2o,3.10.4.8,<pip>,3.8.1.4,<pip>,no
h5py,2.7.0,np112py27_0,2.5.0,np19py27_3,no
h5py,2.7.0,np112py27_0,2.6.0,np111py27_2,no
h5py,2.7.0,np112py27_0,2.7.0,<pip>,yes
happybase,1.0.0,<pip>,0.8,<pip>,no
happybase,1.0.0,<pip>,1.0.0,<pip>,yes
harfbuzz,0.9.39,2,0.9.39,1,yes
harfbuzz,0.9.39,2,0.9.39,2,yes
hdf5,1.8.17,1,1.8.15.1,3,no
hdf5,1.8.17,1,1.8.17,1,yes
hdfs,2.0.16,<pip>,2.0.5,<pip>,no
heapdict,1.0.0,py27_1,1.0.0,py27_0,yes
heapdict,1.0.0,py27_1,1.0.0,py27_1,yes
hive-thrift-py,0.0.1,<pip>,0.0.1,py27_0,yes
icu,54.1,0,54.1,0,yes
idna,2.2,py27_0,2.1,py27_0,no
idna,2.2,py27_0,2.2,py27_0,yes
idna,2.2,py27_0,2.5,<pip>,no
imagesize,0.7.1,py27_0,0.7.1,py27_0,yes
impyla,0.14.0,<pip>,0.13.7,<pip>,no
impyla,0.14.0,<pip>,0.14.0,py27_0,yes
ipaddress,1.0.18,py27_0,1.0.16,py27_0,no
ipaddress,1.0.18,py27_0,1.0.18,py27_0,yes
ipdb,0.10.2,<pip>,0.10.1,<pip>,no
ipdb,0.10.2,<pip>,0.10.2,<pip>,yes
ipykernel,4.5.2,py27_0,4.5.2,py27_0,yes
ipykernel,4.5.2,py27_0,4.6.1,<pip>,no
ipykernel,4.5.2,py27_0,4.6.1,py27_0,no
ipython,5.1.0,py27_0,5.1.0,py27_0,yes
ipython,5.1.0,py27_0,5.3.0,<pip>,no
ipython,5.1.0,py27_0,5.3.0,py27_0,no
ipython_genutils,0.1.0,py27_0,0.1.0,py27_0,yes
ipython_genutils,0.1.0,py27_0,0.2.0,py27_0,no
ipywidgets,5.2.2,py27_1,5.2.2,py27_1,yes
ipywidgets,5.2.2,py27_1,6.0.0,<pip>,no
ipywidgets,5.2.2,py27_1,6.0.0,py27_0,no
isort,4.2.5,py27_0,4.2.5,py27_0,yes
itsdangerous,0.24,py27_0,0.24,py27_0,yes
itsdangerous,0.24,py27_0,0.24,py27_1,yes
jbig,2.1,0,2.1,0,yes
jdcal,1.3,py27_0,1.3,py27_0,yes
jedi,0.9.0,py27_1,0.10.0,py27_0,no
jedi,0.9.0,py27_1,0.10.2,<pip>,no
jedi,0.9.0,py27_1,0.9.0,py27_1,yes
jellyfish,0.5.6,<pip>,0.5.6,<pip>,yes
jinja2,2.9.4,py27_0,2.9.4,py27_0,yes
jinja2,2.9.4,py27_0,2.9.5,py27_0,no
jira,1.0.10,<pip>,1.0.10,<pip>,yes
jmespath,0.9.3,<pip>,0.9.3,<pip>,yes
joblib,0.11,<pip>,0.11,py27_0,yes
joblib,0.11,<pip>,0.9.4,py27_0,no
joblib,0.9.4,py27_0,0.11,py27_0,no
joblib,0.9.4,py27_0,0.9.4,py27_0,yes
jpeg,9b,0,9b,0,yes
jsonschema,2.5.1,py27_0,2.5.1,<pip>,yes
jsonschema,2.5.1,py27_0,2.5.1,py27_0,yes
jsonschema,2.5.1,py27_0,2.6.0,<pip>,no
jupyter,1.0.0,py27_3,1.0.0,py27_0,yes
jupyter,1.0.0,py27_3,1.0.0,py27_3,yes
jupyter_client,4.4.0,py27_0,4.4.0,py27_0,yes
jupyter_client,4.4.0,py27_0,5.0.1,<pip>,no
jupyter_client,4.4.0,py27_0,5.0.1,py27_0,no
jupyter_console,5.0.0,py27_0,5.0.0,py27_0,yes
jupyter_console,5.0.0,py27_0,5.1.0,<pip>,no
jupyter_console,5.0.0,py27_0,5.1.0,py27_0,no
jupyter_core,4.2.1,py27_0,4.2.1,py27_0,yes
jupyter_core,4.2.1,py27_0,4.3.0,<pip>,no
jupyter_core,4.2.1,py27_0,4.3.0,py27_0,no
jupyterlab,0.19.0,py27_0,0.1.2,<pip>,no
jupyterlab,0.19.0,py27_0,0.19.0,py27_0,yes
jupyterlab,0.19.0,py27_0,0.7.0,<pip>,no
jupyterlab,0.7.0,<pip>,0.1.2,<pip>,no
jupyterlab,0.7.0,<pip>,0.19.0,py27_0,no
jupyterlab,0.7.0,<pip>,0.7.0,<pip>,yes
kerberos,1.2.5,<pip>,1.2.5,<pip>,yes
kmodes,0.7,<pip>,0.7,<pip>,yes
kombu,4.0.2,<pip>,4.0.2,<pip>,yes
lazy-object-proxy,1.2.2,py27_0,1.2.2,py27_0,yes
libdynd,0.7.2,0,0.7.2,0,yes
libffi,3.2.1,1,3.2.1,1,yes
libffi,3.2.1,1,3.2.1,3,yes
libgcc,4.8.5,2,4.8.5,2,yes
libgcc,4.8.5,2,5.2.0,0,no
libgfortran,3.0.0,1,3.0.0,1,yes
libiconv,1.14,0,1.14,0,yes
libiconv,1.14,0,1.14,4,yes
libpng,1.6.27,0,1.6.17,0,no
libpng,1.6.27,0,1.6.27,0,yes
libsodium,1.0.10,0,1.0.10,0,yes
libtiff,4.0.6,3,4.0.6,3,yes
libtiff,4.0.6,3,4.0.6,7,yes
libxcb,1.12,1,1.12,1,yes
libxgboost,0.60,hdfa14d8_0,0,,no
libxml2,2.9.4,0,2.9.4,0,yes
libxslt,1.1.29,0,1.1.29,0,yes
libxslt,1.1.29,0,1.1.29,3,yes
lightgbm,2.0.6,<pip>,2.0.6,<pip>,yes
llvmlite,0.19.0,py27_0,0.11.0,py27_0,no
llvmlite,0.19.0,py27_0,0.15.0,py27_0,no
llvmlite,0.19.0,py27_0,0.19.0,<pip>,yes
locket,0.2.0,py27_1,0.2.0,py27_1,yes
lockfile,0.12.2,<pip>,0.12.2,<pip>,yes
lxml,3.7.2,py27_0,3.7.2,py27_0,yes
lxml,3.7.2,py27_0,3.7.3,py27_0,no
markupsafe,0.23,py27_2,0.23,py27_1,yes
markupsafe,0.23,py27_2,0.23,py27_2,yes
matplotlib,2.0.2,np112py27_0,1.4.3,np19py27_2,no
matplotlib,2.0.2,np112py27_0,2.0.0,np111py27_0,no
matplotlib,2.0.2,np112py27_0,2.0.2,<pip>,yes
mistune,0.7.3,py27_0,0.7.3,py27_0,yes
mistune,0.7.3,py27_0,0.7.4,py27_0,no
mkl,2017.0.1,0,11.3.3,0,no
mkl,2017.0.1,0,2017.0.1,0,yes
mkl-service,1.1.2,py27_3,1.1.2,py27_3,yes
mock,2.0.0,<pip>,2.0.0,<pip>,yes
mock,2.0.0,<pip>,2.0.0,py27_0,yes
moto,1.0.1,<pip>,1.0.1,<pip>,yes
mpmath,0.19,py27_1,0.19,py27_1,yes
mpmath,0.19,py27_1,0.19,py27_2,yes
multipledispatch,0.4.9,py27_0,0.4.9,py27_0,yes
mysqlclient,1.3.10,<pip>,1.3.10,<pip>,yes
nb_anacondacloud,1.2.0,py27_0,1.2.0,py27_0,yes
nb_conda,2.0.0,py27_0,2.0.0,py27_0,yes
nb_conda_kernels,2.0.0,py27_0,2.0.0,py27_0,yes
nbconvert,4.2.0,py27_0,4.2.0,py27_0,yes
nbconvert,4.2.0,py27_0,5.1.1,<pip>,no
nbconvert,4.2.0,py27_0,5.1.1,py27_1,no
nbformat,4.2.0,py27_0,4.2.0,<pip>,yes
nbformat,4.2.0,py27_0,4.2.0,py27_0,yes
nbformat,4.2.0,py27_0,4.3.0,<pip>,no
nbpresent,3.0.2,py27_0,3.0.2,py27_0,yes
networkx,1.11,py27_0,1.11,py27_0,yes
nltk,3.2.2,py27_0,3.2.2,py27_0,yes
nltk,3.2.2,py27_0,3.2.3,<pip>,no
nose,1.3.7,py27_1,1.3.7,py27_1,yes
nose,1.3.7,py27_1,1.3.7,py27_2,yes
nose-ignore-docstring,0.2,<pip>,0.2,<pip>,yes
nose-parameterized,0.6.0,<pip>,0.6.0,<pip>,yes
notebook,5.0.0,py27_0,5.0.0,<pip>,yes
notebook,5.0.0,py27_0,5.0.0,py27_0,yes
numba,0.34.0,np112py27_0,0.26.0,np19py27_0,no
numba,0.34.0,np112py27_0,0.30.1,np111py27_0,no
numba,0.34.0,np112py27_0,0.34.0+0.gc1fdcbe64.dirty,<pip>,no
numexpr,2.6.2,np112py27_0,2.4.4,np19py27_0,no
numexpr,2.6.2,np112py27_0,2.6.1,np111py27_2,no
numexpr,2.6.2,np112py27_0,2.6.2,<pip>,yes
numpy,1.12.1,py27_0,1.11.3,py27_0,no
numpy,1.12.1,py27_0,1.13.1,<pip>,no
numpy,1.12.1,py27_0,1.8.0,<pip>,no
numpy,1.12.1,py27_0,1.9.0,py27_0,no
numpy,1.13.1,<pip>,1.11.3,py27_0,no
numpy,1.13.1,<pip>,1.13.1,<pip>,yes
numpy,1.13.1,<pip>,1.8.0,<pip>,no
numpy,1.13.1,<pip>,1.9.0,py27_0,no
numpydoc,0.6.0,py27_0,0.6.0,py27_0,yes
oauthlib,2.0.2,<pip>,2.0.2,<pip>,yes
odo,0.5.0,py27_1,0.5.0,py27_1,yes
openpyxl,2.4.1,py27_0,2.4.1,py27_0,yes
openpyxl,2.4.1,py27_0,2.4.5,py27_1,no
openpyxl,2.4.1,py27_0,2.4.7,<pip>,no
openssl,1.0.2k,1,1.0.2k,0,yes
openssl,1.0.2k,1,1.0.2k,1,yes
oracle-instantclient,11.2.0.4.0,0,11.2.0.4.0,0,yes
ordereddict,1.1,<pip>,1.1,<pip>,yes
pandas,0.19.2,<pip>,0.17.1,np19py27_0,no
pandas,0.19.2,<pip>,0.19.2,<pip>,yes
pandas,0.19.2,<pip>,0.19.2,np111py27_1,yes
pandas,0.19.2,<pip>,0.20.2,<pip>,no
pandas,0.19.2,<pip>,0.20.3,<pip>,no
pandas,0.20.3,<pip>,0.17.1,np19py27_0,no
pandas,0.20.3,<pip>,0.19.2,<pip>,no
