library,version,container
Babel,1.3,<pip>
Babel,2.4.0,<pip>
Bottleneck,1.2.1,<pip>
CherryPy,10.1.1,<pip>
CommonMark,0.7.3,<pip>
Faker,0.7.18,<pip>
Flask,0.11.1,<pip>
Flask,0.12.2,<pip>
Flask-Admin,1.4.1,<pip>
Flask-Bcrypt,0.7.1,<pip>
Flask-Cache,0.13.1,<pip>
Flask-HTTPAuth,3.2.2,<pip>
Flask-Login,0.2.11,<pip>
Flask-RESTful,0.3.5,<pip>
Flask-WTF,0.12,<pip>
Fuzzy,1.0.post0,<pip>
GitPython,2.1.1,<pip>
JPype1,0.6.1,<pip>
JayDeBeApi,0.2.0,<pip>
Jinja2,2.8.1,<pip>
Jinja2,2.9.6,<pip>
Mako,1.0.6,<pip>
Markdown,2.6.8,<pip>
MarkupSafe,1.0,<pip>
Paste,2.0.3,<pip>
Pillow,4.1.1,<pip>
PyDictionary,1.5.2,<pip>
PyHive,0.1.7,<pip>
PyWavelets,0.5.2,<pip>
SFrame,2.1,<pip>
SQLAlchemy,1.1.9,<pip>
Sphinx,1.5.6,<pip>
Sphinx-PyPI-upload,0.2.1,<pip>
TableauSDK,9300.0.0.0,<pip>
Unidecode,0.04.20,<pip>
WTForms,2.1,<pip>
Werkzeug,0.12.2,<pip>
abstract-rendering,0.5.1,np19py27_0
airflow,1.8.0b1+apache.incubating,<pip>
alabaster,0.7.10,py27_0
alabaster,0.7.9,py27_0
alembic,0.8.10,<pip>
amqp,2.1.4,<pip>
anaconda,custom,py27_0
anaconda-clean,1.0.0,py27_0
anaconda-client,1.5.1,py27_0
anaconda-client,1.6.0,py27_0
anaconda-client,1.6.3,<pip>
anaconda-navigator,1.2.3,py27_0
anaconda-navigator,1.5.0,py27_0
anaconda-navigator,1.6.2,<pip>
anaconda-project,0.4.1,py27_0
anaconda-project,0.6.0,<pip>
aniso8601,1.2.0,<pip>
apache-maven,3.3.3,0
app,0.0.1,<pip>
argcomplete,1.0.0,py27_1
argcomplete,1.8.2,py27_0
argparse,1.4.0,<pip>
asn1crypto,0.22.0,<pip>
astroid,1.4.9,py27_0
astropy,1.0.4,np19py27_0
astropy,1.3,np111py27_0
astropy,2.0,<pip>
awscli,1.6.2,<pip>
babel,2.3.4,py27_0
backports,1.0,py27_0
backports-abc,0.5,<pip>
backports.shutil_get_terminal_size,1.0.0,py27_1
backports.weakref,1.0rc1,<pip>
backports_abc,0.5,py27_0
bcdoc,0.12.2,<pip>
bcolz,1.0.0,py27_0
bcrypt,3.1.3,<pip>
beautifulsoup4,4.5.3,py27_0
beautifulsoup4,4.6.0,<pip>
billiard,3.5.0.2,<pip>
bitarray,0.8.1,py27_0
blas,1.1,openblas
blaze,0.10.1,py27_0
blaze-core,0.9.0,py27_0
bleach,1.5.0,<pip>
bleach,1.5.0,py27_0
bokeh,0.12.4,py27_0
bokeh,0.12.5,<pip>
bokeh,0.12.5,py27_0
boost,1.61.0,py27_0
boto,2.33.0,<pip>
boto,2.45.0,py27_0
boto,2.46.1,py27_0
boto3,1.4.4,<pip>
botocore,1.5.65,<pip>
bottleneck,1.0.0,np19py27_0
bottleneck,1.2.0,np111py27_0
bz2file,0.98,<pip>
bzip2,1.0.6,1
ca-certificates,2017.1.23,0
cairo,1.12.18,6
cairo,1.14.8,0
cdecimal,2.3,py27_2
celery,4.0.2,<pip>
certifi,2015.04.28,<pip>
certifi,2017.1.23,py27_0
certifi,2017.4.17,<pip>
cffi,1.10.0,<pip>
cffi,1.7.0,py27_0
cffi,1.9.1,py27_0
cgroupspy,0.1.5,<pip>
chardet,2.3.0,py27_0
chardet,3.0.3,<pip>
chartkick,0.4.2,<pip>
cheroot,5.2.0,<pip>
chest,0.2.3,py27_0
click,6.7,<pip>
click,6.7,py27_0
cloog,0.18.0,0
cloudpickle,0.2.2,py27_0
cloudpickle,0.2.2,py27_2
clyent,1.2.1,py27_0
clyent,1.2.2,py27_0
cmake,3.7.1,4
colorama,0.2.5,<pip>
colorama,0.3.7,<pip>
colorama,0.3.7,py27_0
colorama,0.3.9,<pip>
colorlover,0.2.1,<pip>
conda,4.2.13,py27_0
conda,4.3.16,py27_0
conda,4.3.22,<pip>
conda-build,2.0.2,py27_0
conda-build,2.1.9,py27_0
conda-env,2.6.0,0
conda-manager,0.4.0,py27_0
conda-manager,0.4.0,py_0
conda-verify,2.0.0,py27_0
configobj,5.0.6,py27_0
configparser,3.5.0,py27_0
contextlib2,0.5.4,py27_0
contextlib2,0.5.5,<pip>
cookies,2.2.1,<pip>
croniter,0.3.14,<pip>
cryptography,1.7.1,py27_0
cryptography,1.8.1,<pip>
cufflinks,0.8.2,<pip>
curl,7.52.1,0
cx_oracle,5.1.2,py27_0
cycler,0.10.0,py27_0
cython,0.25.2,py27_0
cython,0.25.2,py27_1
cytoolz,0.8.2,<pip>
cytoolz,0.8.2,py27_0
dask,0.11.1,py27_0
dask,0.13.0,py27_0
dask,0.14.3,<pip>
datashape,0.5.4,py27_0
dbus,1.10.10,0
decorator,4.0.11,py27_0
decorator,4.0.9,<pip>
defusedxml,0.5.0,<pip>
dicttoxml,1.7.4,<pip>
dill,0.2.5,py27_0
dill,0.2.6,py27_0
distributed,1.16.3,<pip>
docopt,0.6.2,<pip>
docopt,0.6.2,py27_0
docutils,0.13.1,py27_0
dolfin,1.6.0,np19py27_6
drillpy,0.2.0,<pip>
dynd-python,0.7.2,py27_0
eigen,3.3.1,0
eigen3,3.2.1,1
entrypoints,0.2.2,<pip>
entrypoints,0.2.2,py27_0
entrypoints,0.2.2,py27_1
enum34,1.1.6,py27_0
enum34,1.1.6,py27_1
et_xmlfile,1.0.1,py27_0
expat,2.1.0,0
expat,2.1.0,2
fastavro,0.9.6,<pip>
fastcache,1.0.2,py27_1
fenics,2016.1.0,py27_2
ffc,1.6.0,np19py27_4
fiat,1.6.0,np19py27_1
filechunkio,1.8,<pip>
filelock,2.0.6,py27_0
flask,0.12,py27_0
flask-cors,3.0.2,py27_0
flask-swagger,0.2.13,<pip>
flower,0.9.1,<pip>
fontconfig,2.11.1,6
fontconfig,2.12.1,2
freeglut,3.0.0,4
freetds,1.00.9,0
freetype,2.5.5,1
freetype,2.5.5,2
freezegun,0.3.9,<pip>
funcsigs,1.0.0,<pip>
funcsigs,1.0.2,py27_0
functools32,3.2.3.2,py27_0
functools32,3.2.3.2,py27_1
functools32,3.2.3.post2,<pip>
future,0.15.2,<pip>
future,0.16.0,py27_0
futures,3.0.5,py27_0
futures,3.1.1,<pip>
fuzzywuzzy,0.15.0,<pip>
gcc,4.8.5,7
gensim,0.13.4.1,<pip>
get_terminal_size,1.0.0,py27_0
gettext,0.19.7,1
gevent,1.2.1,py27_0
gevent-websocket,0.10.1,py27_0
ghost.py,0.2.3,py27_0
gitdb2,2.0.0,<pip>
glib,2.50.2,1
glib,2.51.4,0
gmp,6.1.2,0
goslate,1.5.1,<pip>
greenlet,0.4.11,py27_0
greenlet,0.4.12,py27_0
grin,1.2.1,py27_3
gsl,2.2.1,1
gst-plugins-base,1.8.0,0
gstreamer,1.8.0,0
gunicorn,19.3.0,<pip>
h2o,3.8.1.4,<pip>
h5py,2.5.0,np19py27_3
h5py,2.6.0,np111py27_2
h5py,2.7.0,<pip>
happybase,0.8,<pip>
happybase,1.0.0,<pip>
harfbuzz,0.9.39,1
harfbuzz,0.9.39,2
hdf5,1.8.15.1,3
hdf5,1.8.17,1
hdfs,2.0.5,<pip>
hdfs3,0.1.3,py27_0
heapdict,1.0.0,py27_0
heapdict,1.0.0,py27_1
hive-thrift-py,0.0.1,py27_0
hive_utils,0.0.1,py27_0
hiveplot,0.1.7.4,<pip>
html5lib,0.999,<pip>
html5lib,0.999,py27_0
html5lib,0.9999999,<pip>
ibis-framework,0.7.1,<pip>
ibis-framework,0.8.1,py27_0
icu,54.1,0
idna,2.1,py27_0
idna,2.2,py27_0
idna,2.5,<pip>
imagesize,0.7.1,py27_0
impyla,0.13.7,<pip>
impyla,0.14.0,py27_0
instant,1.6.0,py27_3
ipaddress,1.0.16,py27_0
ipaddress,1.0.18,py27_0
ipdb,0.10.1,<pip>
ipdb,0.10.2,<pip>
ipykernel,4.5.2,py27_0
ipykernel,4.6.1,<pip>
ipykernel,4.6.1,py27_0
ipython,5.1.0,py27_0
ipython,5.3.0,<pip>
ipython,5.3.0,py27_0
ipython-notebook,4.0.4,py27_0
ipython-qtconsole,4.0.1,py27_0
ipython_genutils,0.1.0,py27_0
ipython_genutils,0.2.0,py27_0
ipywidgets,5.2.2,py27_1
ipywidgets,6.0.0,<pip>
ipywidgets,6.0.0,py27_0
isl,0.12.2,0
isort,4.2.5,py27_0
itsdangerous,0.24,py27_0
itsdangerous,0.24,py27_1
jbig,2.1,0
jdcal,1.3,py27_0
jedi,0.10.0,py27_0
jedi,0.10.2,<pip>
jedi,0.9.0,py27_1
jellyfish,0.5.6,<pip>
jinja2,2.9.4,py27_0
jinja2,2.9.5,py27_0
jira,1.0.10,<pip>
jmespath,0.9.3,<pip>
joblib,0.11,py27_0
joblib,0.9.4,py27_0
jpeg,9b,0
jpype1,0.6.0,py27_0
jpypex,0.5.4.2,py27_0
jsoncpp,0.10.6,1
jsonschema,2.5.1,<pip>
jsonschema,2.5.1,py27_0
jsonschema,2.6.0,<pip>
jupyter,1.0.0,py27_0
jupyter,1.0.0,py27_3
jupyter_client,4.4.0,py27_0
jupyter_client,5.0.1,<pip>
jupyter_client,5.0.1,py27_0
jupyter_console,5.0.0,py27_0
jupyter_console,5.1.0,<pip>
jupyter_console,5.1.0,py27_0
jupyter_core,4.2.1,py27_0
jupyter_core,4.3.0,<pip>
jupyter_core,4.3.0,py27_0
jupyterlab,0.1.2,<pip>
jupyterlab,0.19.0,py27_0
jupyterlab,0.7.0,<pip>
kerberos,1.2.5,<pip>
kmodes,0.7,<pip>
kombu,4.0.2,<pip>
krb5,1.14.2,0
lazy-object-proxy,1.2.2,py27_0
libarchive,3.2.1,2
libdynd,0.7.2,0
libffi,3.2.1,1
libffi,3.2.1,3
libgcc,4.8.5,2
libgcc,5.2.0,0
libgfortran,3.0.0,1
libgsasl,1.8.0,0
libhdfs3,2.2.31,1
libiconv,1.14,0
libiconv,1.14,4
libntlm,1.4,0
libpng,1.6.17,0
libpng,1.6.27,0
libprotobuf,3.2.0,0
libsodium,1.0.10,0
libtiff,4.0.6,3
libtiff,4.0.6,7
libuuid,1.0.3,1
libuv,1.11.0,0
libxcb,1.12,1
libxml2,2.9.4,0
libxslt,1.1.29,0
libxslt,1.1.29,3
lightgbm,2.0.6,<pip>
llvm,3.3,0
llvmlite,0.11.0,py27_0
llvmlite,0.15.0,py27_0
llvmlite,0.19.0,<pip>
llvmpy,0.12.7,py27_0
locket,0.2.0,py27_1
lockfile,0.12.2,<pip>
lxml,3.7.2,py27_0
lxml,3.7.3,py27_0
markupsafe,0.23,py27_1
markupsafe,0.23,py27_2
matplotlib,1.4.3,np19py27_2
matplotlib,2.0.0,np111py27_0
matplotlib,2.0.2,<pip>
mistune,0.7.3,py27_0
mistune,0.7.4,py27_0
mkl,11.3.3,0
mkl,2017.0.1,0
mkl-service,1.1.2,py27_3
mock,2.0.0,<pip>
mock,2.0.0,py27_0
moto,1.0.1,<pip>
mpc,1.0.3,4
mpfr,3.1.5,0
mpi4py,2.0.0,py27_2
mpich,3.2,4
mpich2,1.4.1p1,0
mpmath,0.19,py27_1
mpmath,0.19,py27_2
msgpack-python,0.4.8,<pip>
multipledispatch,0.4.9,py27_0
mysql-connector-python,2.2.2,py27_0
mysqlclient,1.3.10,<pip>
navigator-updater,0.1.0,<pip>
nb_anacondacloud,1.2.0,py27_0
nb_conda,2.0.0,py27_0
nb_conda_kernels,2.0.0,py27_0
nb_config_manager,0.1.3,py27_0
nbbrowserpdf,0.2.2,py27_0
nbconvert,4.2.0,py27_0
nbconvert,5.1.1,<pip>
nbconvert,5.1.1,py27_1
nbformat,4.2.0,<pip>
nbformat,4.2.0,py27_0
nbformat,4.3.0,<pip>
nbpresent,3.0.2,py27_0
ncurses,5.9,10
networkx,1.11,py27_0
nltk,3.2.2,py27_0
nltk,3.2.3,<pip>
nose,1.3.7,py27_1
nose,1.3.7,py27_2
nose-ignore-docstring,0.2,<pip>
nose-parameterized,0.6.0,<pip>
notebook,5.0.0,<pip>
notebook,5.0.0,py27_0
numba,0.26.0,np19py27_0
numba,0.30.1,np111py27_0
numba,0.34.0+0.gc1fdcbe64.dirty,<pip>
numexpr,2.4.4,np19py27_0
numexpr,2.6.1,np111py27_2
numexpr,2.6.2,<pip>
numpy,1.11.3,py27_0
numpy,1.13.1,<pip>
numpy,1.8.0,<pip>
numpy,1.9.0,py27_0
numpydoc,0.6.0,py27_0
oauthlib,2.0.2,<pip>
odo,0.5.0,py27_1
olefile,0.44,<pip>
openblas,0.2.19,1
openpyxl,2.4.1,py27_0
openpyxl,2.4.5,py27_1
openpyxl,2.4.7,<pip>
openssl,1.0.2k,0
openssl,1.0.2k,1
oracle-instantclient,11.2.0.4.0,0
ordereddict,1.1,<pip>
packaging,16.8,<pip>
pandas,0.17.1,np19py27_0
pandas,0.19.2,<pip>
pandas,0.19.2,np111py27_1
pandas,0.20.2,<pip>
pandas,0.20.3,<pip>
pandas-datareader,0.2.1,py27_0
pandasql,0.7.3,<pip>
pandoc,1.19.2,0
pandocfilters,1.4.1,<pip>
pandocfilters,1.4.1,py27_0
pango,1.39.0,0
partd,0.3.7,py27_0
partd,0.3.8,<pip>
patchelf,0.9,0
patchelf,0.9,1
path.py,10.0,py27_0
path.py,8.2.1,py27_0
pathlib2,2.2.0,py27_0
pathlib2,2.2.1,py27_0
patsy,0.4.1,py27_0
pbr,1.9.1,<pip>
pbr,2.0.0,py27_0
pcre,8.39,0
pcre,8.39,1
pep8,1.7.0,py27_0
petsc,3.6.2,py27_3
petsc4py,3.6.0,np19py27_4
pexpect,4.2.1,py27_0
pickleshare,0.7.3,py27_0
pickleshare,0.7.4,py27_0
pillow,3.2.0,py27_1
pillow,4.0.0,py27_0
pip,8.1.2,<pip>
pip,9.0.1,<pip>
pip,9.0.1,py27_0
pip,9.0.1,py27_1
pixman,0.32.6,0
pixman,0.34.0,0
pkg-config,0.29.1,1
pkginfo,1.2.1,py27_0
pkginfo,1.3.2,py27_0
plotly,1.12.9,<pip>
ply,3.10,<pip>
ply,3.9,<pip>
ply,3.9,py27_0
portend,1.8,<pip>
prettytable,0.7.2,<pip>
prompt_toolkit,1.0.14,py27_0
prompt_toolkit,1.0.9,py27_0
protobuf,3.2.0,py27_0
psutil,4.4.2,<pip>
psutil,5.0.1,py27_0
psutil,5.2.1,py27_0
psutil,5.2.2,<pip>
ptyprocess,0.5.1,py27_0
py,1.4.32,py27_0
py,1.4.33,py27_0
py2cairo,1.10.0,py27_2
py4j,0.10.4,py27_0
pyOpenSSL,17.0.0,<pip>
pyaml,16.12.2,<pip>
pyasn1,0.1.9,py27_0
pyasn1,0.2.3,py27_0
pycairo,1.10.0,py27_0
pycosat,0.6.1,py27_0
pycosat,0.6.1,py27_1
pycosat,0.6.2,<pip>
pycparser,2.17,<pip>
pycparser,2.17,py27_0
pycrypto,2.6.1,py27_0
pycrypto,2.6.1,py27_4
pycurl,7.43.0,py27_2
pydot,1.2.3,<pip>
pydot2,1.0.33,<pip>
pydotplus,2.0.2,<pip>
pyflakes,1.5.0,<pip>
pyflakes,1.5.0,py27_0
pygments,2.1.3,py27_0
pygments,2.2.0,py27_0
pyhdb,0.3.1,<pip>
pyhive,0.2.1,py27_0
pyhs2,0.6.0,<pip>
pyhs2,0.6.0,py27_0
pykerberos,1.1.10,py27_0
pykerberos,1.1.14,<pip>
pylint,1.6.4,py27_1
pymongo,3.2.2,py27_0
pymssql,2.1.3,py27_0
pyodbc,3.0.10,py27_1
pyodbc,4.0.17,<pip>
pyopenssl,16.2.0,py27_0
pyparsing,2.0.3,py27_0
pyparsing,2.1.4,py27_0
pypdf2,1.26.0,py27_1
pypyodbc,1.3.3,<pip>
pyqt,4.11.4,py27_2
pyqt,5.6.0,py27_2
pyqt5,5.5.0,py27_0
pytables,3.2.2,np19py27_0
pytables,3.3.0,np111py27_0
pytest,3.0.5,py27_0
pytest,3.0.7,py27_0
pytest-qt,1.11.0,py_0
python,2.7.13,0
python-crontab,1.7.2,py27_0
python-daemon,2.1.2,<pip>
python-dateutil,2.6.0,<pip>
python-dateutil,2.6.0,py27_0
python-dateutil,2.6.1,<pip>
python-editor,1.0.3,<pip>
python-hdfs,2.0.5,py27_0
python-nvd3,0.14.2,<pip>
python-pptx,0.6.5,py27_1
python-slugify,1.1.4,<pip>
pytz,2016.10,<pip>
pytz,2016.10,py27_0
pytz,2017.2,py27_0
pyyaml,3.12,py27_0
pyyaml,3.12,py27_1
pyzmq,16.0.2,py27_0
pyzmq,16.0.2,py27_1
qt,4.8.7,4
qt,5.6.2,3
qt5,5.5.0,0
qtawesome,0.4.3,py27_0
qtawesome,0.4.4,py27_0
qtconsole,4.2.1,py27_1
qtconsole,4.3.0,py27_0
qtpy,1.2.1,py27_0
r,3.3.1,r3.3.1_0
r-base,3.3.1,1
r-boot,1.3_18,r3.3.1_0
r-class,7.3_14,r3.3.1_0
r-cluster,2.0.4,r3.3.1_0
r-codetools,0.2_14,r3.3.1_0
r-foreign,0.8_66,r3.3.1_0
r-kernsmooth,2.23_15,r3.3.1_0
r-lattice,0.20_33,r3.3.1_0
r-mass,7.3_45,r3.3.1_0
r-matrix,1.2_6,r3.3.1_0
r-mgcv,1.8_12,r3.3.1_0
r-nlme,3.1_128,r3.3.1_0
r-nnet,7.3_12,r3.3.1_0
r-recommended,3.3.1,r3.3.1_0
r-rpart,4.1_10,r3.3.1_0
r-spatial,7.3_11,r3.3.1_0
r-survival,2.39_4,r3.3.1_0
readline,6.2,0
readline,6.2,2
redis,2.10.5,<pip>
redis,3.2.0,0
redis-py,2.10.5,py27_0
requests,2.12.4,py27_0
requests,2.13.0,py27_0
requests,2.14.2,<pip>
requests,2.9.1,<pip>
requests-file,1.4.1,py27_0
requests-kerberos,0.11.0,<pip>
requests-kerberos,0.8.0,py27_0
requests-oauthlib,0.8.0,<pip>
requests-toolbelt,0.8.0,<pip>
rope,0.10.5,py27_0
rope,0.9.4,py27_1
rpy2,2.8.1,py27r3.3.1_1
rsa,3.1.2,<pip>
ruamel_yaml,0.11.14,py27_0
ruamel_yaml,0.11.14,py27_1
s3transfer,0.1.10,<pip>
sasl,0.1.3,py27_0
sasl,0.2.1,<pip>
scandir,1.4,py27_0
scandir,1.5,py27_1
scikit-fuzzy,0.2,<pip>
scikit-image,0.11.3,np19py27_0
scikit-image,0.12.3,np111py27_1
scikit-image,0.13.0,<pip>
scikit-learn,0.16.1,np19py27_0
scikit-learn,0.18.1,np111py27_1
scikit-learn,0.18.2,<pip>
scipy,0.16.0,<pip>
scipy,0.17.1,np19py27_1
scipy,0.18.1,np111py27_1
scipy,0.19.0,<pip>
scipy,0.19.1,<pip>
seaborn,0.7.1,<pip>
seaborn,0.7.1,py27_0
setproctitle,1.1.10,<pip>
setuptools,27.2.0,py27_0
setuptools,33.1.1,py27_0
simplegeneric,0.8.1,py27_0
simplegeneric,0.8.1,py27_1
singledispatch,3.4.0.3,py27_0
sip,4.18,py27_0
sip,4.18,py27_1
six,1.10.0,py27_0
six,1.10.0,py27_1
slepc,3.6.2,py27_2
smart-open,1.4.0,<pip>
smmap2,2.0.1,<pip>
snakebite,2.11.0,py27_0
snowballstemmer,1.2.1,py27_0
sockjs-tornado,1.0.3,py27_0
sortedcollections,0.5.3,<pip>
sortedcontainers,1.5.7,<pip>
sphinx,1.5.1,py27_0
sphinx,1.5.5,py27_0
sphinx-argparse,0.2.0,<pip>
sphinx_rtd_theme,0.2.4,py27_0
spyder,2.3.8,py27_1
spyder,3.1.2,py27_0
spyder,3.1.4,<pip>
spyder-app,2.3.8,py27_0
sqlalchemy,1.1.5,py27_0
sqlalchemy-hana,0.2.2,<pip>
sqlite,3.13.0,0
sqlite,3.13.0,1
sqlparse,0.2.3,<pip>
ssl_match_hostname,3.4.0.2,py27_1
ssl_match_hostname,3.5.0.1,py27_1
statsmodels,0.6.1,np111py27_1
statsmodels,0.6.1,np19py27_0
statsmodels,0.8.0,<pip>
subprocess32,3.2.7,py27_0
swig,3.0.7,0
sympy,1.0,<pip>
sympy,1.0,py27_0
system,5.8,2
tabulate,0.7.5,<pip>
tabulate,0.7.7,<pip>
tblib,1.3.2,<pip>
tempora,1.6.1,<pip>
teradata,15.10.0.20,py27_0
terminado,0.6,py27_0
testpath,0.3,<pip>
testpath,0.3,py27_0
thrift,0.10.0,py27_0
thrift,0.9.3,<pip>
thrift-sasl,0.2.1,<pip>
thrift_sasl,0.1.0,py27_0
thriftpy,0.3.9,<pip>
thriftpy,0.3.9,py27_0
tk,8.5.18,0
tk,8.5.19,1
toolz,0.8.2,py27_0
toree,0.1.0.dev8,<pip>
tornado,4.3,<pip>
tornado,4.4.2,py27_0
tornado,4.4.3,py27_0
tornado,4.5.1,<pip>
traitlets,4.3.1,py27_0
traitlets,4.3.2,<pip>
traitlets,4.3.2,py27_0
ufl,1.6.0,py27_1
unicodecsv,0.14.1,py27_0
unixodbc,2.3.4,0
untangle,1.1.0,<pip>
util-linux,2.21,0
vaderSentiment,2.5,<pip>
vine,1.1.3,<pip>
virtualenv,15.1.0,py27_0
vtk,7.0.0,py27_1
wcwidth,0.1.7,py27_0
webencodings,0.5,py27_0
werkzeug,0.11.10,py27_0
werkzeug,0.11.15,py27_0
wheel,0.29.0,py27_0
widgetsnbextension,1.2.6,py27_0
widgetsnbextension,2.0.0,py27_0
wrapt,1.10.10,<pip>
wrapt,1.10.8,py27_0
xlrd,1.0.0,py27_0
xlrd,1.0.0,py27_1
xlsxwriter,0.9.6,py27_0
xlwt,1.2.0,py27_0
xmltodict,0.10.2,<pip>
xz,5.2.2,0
xz,5.2.2,1
yaml,0.1.6,0
yellowbrick,0.4,<pip>
zeromq,4.1.5,0
zeromq,4.2.1,1
zict,0.1.2,<pip>
zlib,1.2.11,0
zlib,1.2.8,3
zope.deprecation,4.2.0,<pip>
